City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,port mathurin,-19.6833,63.4167,26.9,77,13,6.19,MU,1712772270
284,oum hadjer,13.2954,19.6966,34.67,8,57,4.43,TD,1712772029
285,swakopmund,-22.6833,14.5333,18.47,84,50,0.79,NA,1712772271
286,santa ana,33.7456,-117.8678,29.12,34,0,2.57,US,1712772271
287,qaqortoq,60.7167,-46.0333,-1.56,75,7,2.08,GL,1712772271
288,kwali,8.8672,7.005,25.94,31,60,2.02,NG,1712772271
289,bonthe,7.5264,-12.505,28.65,72,60,5.89,SL,1712772271
290,gadzhiyevo,69.2551,33.3362,3.6,100,100,12.46,RU,1712772271
291,esik,43.3552,77.4525,8.68,56,57,3.04,KZ,1712772271
292,bardsir,29.9227,56.5743,18.86,34,93,6.73,IR,1712772271
293,newman,37.3138,-121.0208,22.36,67,86,1.79,US,1712772006
294,rongelap,11.1635,166.8941,26.83,84,99,9.98,MH,1712772271
295,sefaatli,39.5043,34.7563,11.62,70,71,2.73,TR,1712772271
296,novodvinsk,64.4165,40.8122,6.86,100,100,4.15,RU,1712772272
297,inongo,-1.95,18.2667,25.67,80,80,1.82,CD,1712772272
298,pujili,-0.95,-78.6833,17.7,55,40,6.69,EC,1712772272
299,mount gambier,-37.8333,140.7667,13.38,71,85,2.29,AU,1712772148
300,wynyard,-41.0,145.7167,10.21,82,7,4.22,AU,1712772272
301,mangrol,21.1167,70.1167,25.8,76,3,3.84,IN,1712772272
302,manokwari,-0.8667,134.0833,25.04,87,100,4.54,ID,1712772272
303,bokhan,53.153,103.7714,5.3,95,100,1.37,RU,1712772272
304,maxixe,-23.8597,35.3472,24.91,83,40,8.23,MZ,1712772272
305,macas,-2.3167,-78.1167,29.86,54,40,3.6,EC,1712772271
306,mpika,-11.8343,31.4529,18.91,93,93,1.0,ZM,1712772272
307,yangambi,0.8102,24.4336,24.91,69,48,0.6,CD,1712772273
308,okha,53.5739,142.9478,-4.3,92,38,3.58,RU,1712772273
309,xingtai,37.0631,114.4942,13.73,57,33,2.83,CN,1712772023
310,chonchi,-42.6128,-73.8092,14.56,45,8,2.05,CL,1712772273
311,woolgoolga,-30.1106,153.2007,16.93,63,23,4.74,AU,1712772273
312,shakawe,-18.3667,21.85,21.58,85,100,1.73,BW,1712772273
313,margate,51.3813,1.3862,11.61,73,100,4.47,GB,1712772017
314,monte buey,-32.9164,-62.4567,19.3,45,100,6.53,AR,1712772273
315,mjolby,58.326,15.1237,7.84,66,16,8.95,SE,1712772273
316,mandal,25.45,74.5667,25.61,43,85,5.11,IN,1712772273
317,sao paulo de olivenca,-3.3783,-68.8725,29.59,79,93,0.86,BR,1712772273
318,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,2.06,EC,1712772142
319,piti village,13.4626,144.6933,27.49,82,20,6.17,GU,1712772274
320,boguchany,58.3814,97.4531,-1.75,96,100,3.13,RU,1712772274
321,arys,42.4252,68.795,13.21,49,1,1.98,KZ,1712772274
322,andergrove,-21.0833,149.1833,14.8,55,3,6.16,AU,1712772274
323,st. john's,47.5649,-52.7093,1.1,68,75,7.72,CA,1712772220
324,tilcara,-23.5776,-65.3509,14.12,73,52,4.02,AR,1712772274
325,yeppoon,-23.1333,150.7333,12.88,57,0,1.86,AU,1712772274
326,salaberry-de-valleyfield,45.2501,-74.1325,15.21,58,100,1.03,CA,1712772006
327,labrador city,52.9463,-66.9114,1.95,38,0,2.57,CA,1712772009
328,ovalle,-30.5983,-71.2003,26.05,38,54,2.61,CL,1712771765
329,keningau,5.3378,116.1602,21.88,97,100,0.98,MY,1712772274
330,ciudad melchor muzquiz,27.8833,-101.5167,25.77,16,0,7.66,MX,1712772245
331,pisco,-13.7,-76.2167,24.03,73,0,5.66,PE,1712772275
332,tazovsky,67.4667,78.7,-30.14,100,36,2.59,RU,1712772275
333,tralee,52.2704,-9.7026,14.14,94,100,7.72,IE,1712772275
334,chibougamau,49.9168,-74.3659,6.79,61,75,5.14,CA,1712772142
335,hamilton,39.1834,-84.5333,17.27,93,100,3.6,US,1712771926
336,kwale,5.7063,6.4374,30.67,63,91,2.56,NG,1712772275
337,lubango,-14.9172,13.4925,20.92,73,37,2.06,AO,1712772276
338,gomez farias,23.05,-99.15,32.5,9,0,1.26,MX,1712772276
339,eirunepe,-6.6603,-69.8736,23.81,99,100,1.97,BR,1712772209
340,sirte,31.2089,16.5887,18.4,64,0,3.56,LY,1712772276
341,bremervorde,53.4833,9.1333,12.74,77,72,3.39,DE,1712772276
342,rockland,41.1668,-74.0496,19.06,66,100,0.45,US,1712772019
343,ogoja,6.6547,8.7976,33.81,47,74,1.22,NG,1712772276
344,angaur state,6.906,134.13,28.18,74,83,5.51,PW,1712772276
345,katerini,40.2719,22.5025,17.73,68,5,1.28,GR,1712772276
346,dois vizinhos,-25.7336,-53.0572,31.08,42,31,1.53,BR,1712772131
347,garachico,28.7781,-17.7646,21.94,73,20,5.66,ES,1712772276
348,ciudad lazaro cardenas,17.9583,-102.2,28.42,54,32,5.47,MX,1712771989
349,ryotsu-minato,38.0833,138.4333,5.65,57,83,0.92,JP,1712772277
350,al bayda',32.7627,21.7551,10.52,87,56,2.82,LY,1712772277
351,ocean shores,46.9737,-124.1563,11.92,82,99,1.34,US,1712772277
352,praia da vitoria,38.7333,-27.0667,19.14,88,75,7.73,PT,1712772277
353,baringo,0.4667,35.9667,24.79,66,71,1.44,KE,1712772277
354,berriane,32.8265,3.7669,24.47,30,8,4.01,DZ,1712772277
355,quellon,-43.1167,-73.6167,11.61,61,0,4.58,CL,1712772277
356,taikang,46.8333,124.4167,7.73,59,16,3.01,CN,1712772277
357,pedernales,18.0384,-71.744,29.44,59,1,3.35,DO,1712772277
358,port-vila,-17.7338,168.3219,23.78,100,20,4.12,VU,1712772277
359,tabas,33.5959,56.9244,27.38,18,16,4.46,IR,1712772278
360,ilomantsi,62.6716,30.9328,7.61,98,100,4.73,FI,1712772278
361,papao,-17.75,-149.55,28.82,80,68,7.81,PF,1712772278
362,qamdo,31.1667,97.2333,-2.15,87,95,2.06,CN,1712772278
